company,model,spain_presence,sustainability,avg_ticket_eur,flash_sale
Inditex/Zara,Fast fashion,Dominant,Join Life,47,False
Veepee/Privalia,Flash sales,Strong,Re-Cycle 2024,35,True
Zalando,Marketplace,Growing,Pre-owned,55,False
Amazon Fashion,Marketplace,Strong,Climate Pledge,40,False
Vinted,C2C resale,Very strong,Core resale,23,False
Shein,Ultra-fast,Rapid growth,Limited,15,True
H&M,Fast fashion,Established,Garment Collect,30,False
Mango,Mid-range,HQ Barcelona,Second Chances,45,False
El Corte Ingles,Department store,Established,Limited,60,False
Wallapop,C2C resale,Very strong,Core resale,18,False
